Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Action__c,Comments__c,Cost__c,Form__c,Observation__c,Priority__c,Question__c,Work_Order__c,Sequence__c,Service_Template_Section__c,Action_rtf__c,Observation_rtf__c,Question_rtf__c,Action_Guidance__c,Observation_Guidance__c,Question_Guidance__c,Complete__c,Question_Number__c,Action10__c,Action2__c,Action3__c,Action4__c,Action5__c,Action6__c,Action7__c,Action8__c,Action9__c,Observation10__c,Observation2__c,Observation3__c,Observation4__c,Observation5__c,Observation6__c,Observation7__c,Observation8__c,Observation9__c,Overall_Priority__c,Priority10__c,Priority2__c,Priority3__c,Priority4__c,Priority5__c,Priority6__c,Priority7__c,Priority8__c,Priority9__c,Question_Set__c,Sortorder__c,Status__c,Overall_Priority_Water__c,Priority10_Water__c,Priority2_Water__c,Priority3_Water__c,Priority4_Water__c,Priority5_Water__c,Priority6_Water__c,Priority7_Water__c,Priority8_Water__c,Priority9_Water__c,Priority_Water__c,Use_Water_Priority_Picklist__c,Use_Action__c,Image_Question_Refs__c,HasAction__c,STS_Exclude__c,Exclude_Form__c,Action_Summary_Form__c,QuestionSet_Question__c,QS_Question_Number__c,Trace_Action__c,Trace_Observation__c,Case__c,Case2__c,Case3__c,Case4__c,Case5__c,Case6__c,Case7__c,Case8__c,Case9__c,Case10__c,Existing_Case1__c,Existing_Case2__c,Existing_Case3__c,Existing_Case4__c,Existing_Case5__c,Existing_Case6__c,CloseComment1__c,CloseComment2__c,CloseComment3__c,CloseComment4__c,CloseComment5__c,CloseComment6__c,HasExistingCases__c,CloseComment7__c,CloseComment8__c,CloseComment9__c,CloseComment10__c,PlanStudio_IconType__c,PlanStudio_Plancode__c,PlanStudio_Question_Key__c,Position__Latitude__s,Position__Longitude__s,Position__c,What3Words__c
a44R500001dtDgPIAU,0054J000000blVjQAI,false,RAQ-2610653,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,Arrange for suitable labelling of the water services in accordance with BS 1710.,,,a3aR5000001QFfaIAG,None of the water supply pipework has been labelled.,N/A,Is all supply pipework labelled in accordance with BS 1710 Standard (Identification of Pipelines & Services)?,0WOSk000007nqizOAA,2,a3y4L000000XqMnQAK,,,,,,,false,6.2,,,,,,,,,,,,,,,,,,,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000HBpOQAW,06.02,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,false,,Is all supply pipework labelled in accordance with BS 1710 Standard (Identification of Pipelines & Services)?,6.2,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgQIAU,0054J000000blVjQAI,false,RAQ-2610654,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,It should be ensured that non-return valves are fitted to the identified supply pipework to prevent non-wholesome water being drawn into the mains water supply.,,,a3aR5000001QDvWIAW,There are no non-return valves fitted to the following outlets or supply pipework: assessor to describe.,N/A,Are there suitable back syphonage / back pressure devices fitted to supply pipework to prevent contamination of the mains / drinking water supply?,0WOSk000007nqizOAA,1,a3y4L000000XqMSQA0,,,,,,,false,1.1,,,,,,,,,,,,,,,,,,,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000LpgvQAC,01.01,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,false,,Are there suitable back syphonage / back pressure devices fitted to supply pipework to prevent contamination of the mains / drinking water supply?,1.1,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgRIAU,0054J000000blVjQAI,false,RAQ-2610655,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,"The cold water outlets should be suitably labelled as “Not Suitable for Drinking” in accordance with The Health & Safety (Safety Signs and Signals) Regulations; 1996. Where necessary, a drinking water supply must be supplied directly from the mains cold water or bottled water should be provided.",,,a3aR5000001QDvWIAW,Cold water outlets within the office accommodation kitchenettes   /   staff rest rooms   /   0ther - assessor to describe are supplied from the cold water storage cistern(s) CWS-01 & CWS-02. Water from the cold water storage cistern(s) is not deemed a potable / drinking water supply.,N/A,Are all designated drinking water or food preparation outlets supplied from a potable supply?,0WOSk000007nqizOAA,2,a3y4L000000XqMSQA0,,,,,,,false,1.2,,,,,,,,,,,,,,,,,,,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000LpgwQAC,01.02,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,false,,Are all designated drinking water or food preparation outlets supplied from a potable supply?,1.2,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgSIAU,0054J000000blVjQAI,false,RAQ-2610656,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,Drinking water outlet(s) should be clearly labelled in accordance with The Health and Safety (Safety Signs and Signals) Regulations; 1996 as being suitable for drinking.,,,a3aR5000001QDvWIAW,The following outlet is not clearly labelled as suitable for drinking: assessor to describe,N/A,Are drinking water outlets appropriately labelled as 'suitable for drinking'?,0WOSk000007nqizOAA,3,a3y4L000000XqMSQA0,,,,,,,false,1.3,,,,,,,,,,,,,,,,,,,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000LpgxQAC,01.03,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,false,,Are drinking water outlets appropriately labelled as 'suitable for drinking'?,1.3,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgTIAU,0054J000000blVjQAI,false,RAQ-2610657,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,"Cold water systems should be maintained, where possible, at a temperature below 20oC. If the incoming water temperature is above 20oC, employ a competent person to verify the cause of the high temperature or inform the Local Water Authority to ensure the problem is rectified.",,,a3aR5000001QDvWIAW,"At the time of the Risk Assessment, temperature profiles of incoming mains water assessor to describe achieved a temperature of XXoC thus posing a risk of legionella proliferation.",N/A,Are post flush temperatures of mains cold water outlets satisfactory for the control of legionella bacteria at less than 20oC within two minutes of flushing?,0WOSk000007nqizOAA,4,a3y4L000000XqMSQA0,,,,,,,false,1.4,,All drinking water outlets i.e. water fountains or drinking water taps should be removed and pipework should be cut off as close as possible to the main supply to prevent dead-legs.,,,,,,,,,"At the time of the Risk Assessment, water fountains   /   drinking water taps were found in ASSESSOR TO STATE. Workplace (Health, Safety and Welfare) Regulations 1992 states that drinking water taps should not be installed in places where contamination is likely, for example in a workshop where lead is handled or processed. As far as is reasonably practicable, they should also not be within Toilets or Workshops.",,,,,,,,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000LpgyQAC,01.04,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,false,,Are post flush temperatures of mains cold water outlets satisfactory for the control of legionella bacteria at less than 20oC within two minutes of flushing?,1.4,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgUIAU,0054J000000blVjQAI,false,RAQ-2610658,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,Refer to architectural drawings or request that your in-house engineers carry out an extensive search to ascertain the location of the mains cold water stop tap and ensure this is labelled or clearly identified and brought to the attention of the site staff if it is required during a flood emergency.,,,a3aR5000001QDvWIAW,The incoming mains cold water could not be found during the Water Safety Risk Assessment survey.,N/A,Are there any concerns relating to the water system mains isolation?,0WOSk000007nqizOAA,5,a3y4L000000XqMSQA0,,,,,,,false,1.5,,,,,,,,,,,,,,,,,,,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000LpgzQAC,01.05,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,false,,Are there any concerns relating to the water system mains isolation?,1.5,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgVIAU,0054J000000blVjQAI,false,RAQ-2610659,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,"Access to the cistern should be improved to allow regular inspections, monitoring and cleaning & disinfection purposes.",,,a3aR5000001QGmvIAG,Access to the cold water storage cistern CWS-01 located within ASSESSOR TO DESCRIBE is deemed not safe or practical.,N/A,This section is not applicable to this property.,0WOSk000007nqizOAA,1,a3y4L000000XqMLQA0,,,,,,,false,2.1,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000Lph0QAC,02.01,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,true,,Is access to the cistern(s) safe?,2.1,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgWIAU,0054J000000blVjQAI,false,RAQ-2610660,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,Ensure cold water storage cisterns are easily accessible to allow safe access for cleaning and disinfection and general inspection purposes.,,,a3aR5000001QGmvIAG,"At the time of the risk assessment, access to the cold water storage cistern CWS-01 was inadequate.",N/A,Are cisterns adequately supported and installed in a position to allow inspection or maintenance?,0WOSk000007nqizOAA,2,a3y4L000000XqMLQA0,,,,,,,false,2.2,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000Lph1QAC,02.02,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,true,,Are cisterns adequately supported and installed in a position to allow inspection or maintenance?,2.2,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgXIAU,0054J000000blVjQAI,false,RAQ-2610661,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,"Cold water storage cisterns should be re-configured such that the cisterns are linked in parallel, or by replacing the two cisterns with an appropriately sized single cistern.",,,a3aR5000001QGmvIAG,"The cold water storage cistern(s) CWS-01 & CWS-02 are linked in series which is considered poor practice. Stagnation of the cold water storage cistern CWS-02 is as a result of the configuration of the cistern, with cisterns 1 & 2 being linked in series. Cold water is supplied to cistern CWS-02 from cistern CWS-01 at low level. The outlet pipework from cistern CWS-02 is located at low level, thus turnover of water is restricted to low level movement, as cold water is more dense that warm water, stratification occurs, thus the upper layer of water is allowed to stagnate.",N/A,Are cisterns linked in series avoided?,0WOSk000007nqizOAA,3,a3y4L000000XqMLQA0,,,,,,,false,2.3,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000Lph2QAC,02.03,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,true,,Are cisterns linked in series avoided?,2.3,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
a44R500001dtDgYIAU,0054J000000blVjQAI,false,RAQ-2610662,2025-09-30T13:15:29.000+0000,0054J000000blVjQAI,2025-11-06T13:00:01.000+0000,0054L000000gxqcQAA,2025-11-06T13:00:01.000+0000,"Undertake an investigation of the usage of cold water services within the building to ascertain the overall usage of water from the cold water storage cistern. Should the turn-over of stored water within the cold water storage cistern be deemed to be too low, the capacity could be reduced by replacing the ball float arm with an extended or angled ball float. Alternatively, the cistern could be replaced with an appropriately sized, sectional glass reinforced plastic cistern.",,,a3aR5000001QGmvIAG,"The capacity of the cold water storage cistern(s) CWS-01 located in assessor to describe is deemed excessive for the building’s requirements. Cold water cisterns should show complete water turnover within 24 hours, otherwise stagnation can occur.",N/A,Are the cistern(s) appropriately sized allowing stored water to turn over every 24 hours?,0WOSk000007nqizOAA,4,a3y4L000000XqMLQA0,,,,,,,false,2.4,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,a424L000000Lph3QAC,02.04,Not Done,No Issue,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,,,false,,true,,Are the cistern(s) appropriately sized allowing stored water to turn over every 24 hours?,2.4,,,,,,,,,,,,,false,false,false,false,false,false,,,,,,,,,,,,,,,,,,
